MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
26420,5/10/17,,19239,elysian at sienna plantation,would not disclose,2008,270,b+,b+,b+,ft. bend county,"houston-the woodlands-sugar land, tx",8787 sienna springs blvd,missouri city,tx,77459,http://www.elysianatsiennaplantation.com/,29.531322,-95.533806,674501,1,fort bend county,48157
19124,5/10/17,5/18/17,19359,cirque,stabilized,2008,252,a,a++,a+,oaklawn,"dallas-plano-irving, tx",2500 n houston st,dallas,tx,75219,http://www.cirquedallas.com/,32.789249,-96.808762,1900,2,dallas county,48113
41700,5/10/17,5/30/17,35532,preserve on fredericksburg,stabilized,2010,376,a++,a,a,far northwest,"san antonio-new braunfels, tx",10422 huebner rd,san antonio,tx,78240,http://www.preserveyourlifestyle.com/home.asp,29.53969,-98.58165,181404,1,bexar county,48029
40900,5/10/17,5/4/17,18973,villas at greenhaven,stabilized,1992,64,c,b-,b,florin road west,"sacramento--roseville--arden-arcade, ca",6230 greenhaven dr,sacramento,ca,95831,http://djaproperties.com/apartment/villas-at-greenhaven/,38.513706,-121.52735,4006,2,sacramento county,6067
37340,5/10/17,5/17/17,68079,polo glen,stabilized,2008,252,a+,a+,b,brevard county,"palm bay-melbourne-titusville, fl",3603 middleburg ln,rockledge,fl,32955,http://livepologlen.com/,28.298033,-80.744331,63000,1,brevard county,12009
19124,5/10/17,5/31/17,10542,montecito creek,stabilized,1996,650,c+,c,b,north white rock,"dallas-plano-irving, tx",11330 amanda ln,dallas,tx,75238,http://www.montecitocreek.com/,32.875694,-96.687675,13011,2,dallas county,48113
17780,5/10/17,5/16/17,64377,country place,stabilized,1995,212,c-,c-,,,"college station-bryan, tx",3902 college main st,bryan,tx,77801,http://www.countryplaceapts.net,30.624975,-96.35392,1000,2,brazos county,48041
34900,5/10/17,5/19/17,15387,canyon manor,stabilized,1991,48,c,c,,,"napa, ca",941 danrose dr,american canyon,ca,94503,http://www.canyonmanorapartments.com/,38.164894,-122.25568,201007,1,napa county,6055
19124,5/10/17,5/4/17,35648,via las colinas (phase i),stabilized,2009,510,a,,b+,north irving,"dallas-plano-irving, tx",401 northwest hwy,irving,tx,75039,http://www.lincolnlascolinas.com/,32.877705,-96.938232,14137,2,dallas county,48113
19124,5/10/17,5/31/17,33789,andora,stabilized,1975,154,b-,c,b,far northwest/farmers branch,"dallas-plano-irving, tx",3305 linda dr,dallas,tx,75220,,32.873409,-96.865425,9804,1,dallas county,48113
12420,5/10/17,5/24/17,85775,the joplin at crestview apartments,rehabilitation,1971,150,b,c,b,near north central,"austin-round rock, tx",7401 n lamar blvd,austin,tx,78752,https://www.thejoplinatcrestview.com/,30.340372,-97.715408,1804,2,travis county,48453
